Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
80;-10.6189939589;-10.6198660232;0.0008720643;2700;620.9509000000;1;Да
81;-11.3164946867;-11.3219085714;0.0054138848;1350;31.3034000000;1;Да
82;-10.9449001133;-10.9523647173;0.0074646040;2610;131.9400000000;1;Да
83;-11.4153568524;-11.4165386179;0.0011817654;1890;138.6198000000;2;Да
84;-12.0542378547;-12.0542378547;0.0000000000;180;15.4557000000;1;Да
85;-10.4490437167;-10.4589825604;0.0099388437;2880;357.6641000000;1;Да
86;-9.3841397332;-9.4292955724;0.0451558392;54090;7342.0524000000;6;Нет
87;-10.4507398960;-10.4526333249;0.0018934289;1170;184.2662000000;4;Да
88;-10.7510344731;-10.7530685495;0.0020340764;2070;416.4586000000;1;Да
89;-9.8166860769;-9.8166860769;0.0000000000;180;33.7220000000;1;Да
90;-12.2073648649;-12.2073648649;0.0000000000;180;37.6622000000;1;Да
91;-10.3918720383;-10.3918720383;0.0000000000;180;4.1702000000;1;Да
92;-9.6857624730;-9.6890636451;0.0033011721;3600;170.1952000000;1;Да
93;-11.9183128199;-11.9183128199;0.0000000000;180;11.5772000000;1;Да
94;-10.4202233803;-10.4294206479;0.0091972676;1980;179.4124000000;1;Да
95;-10.3407721247;-10.3494599473;0.0086878226;2430;269.5938000000;1;Да
96;-9.0136662807;-9.0137804327;0.0001141520;2160;358.0268000000;1;Да
97;-8.9082522917;-8.9168287142;0.0085764225;4050;657.0892000000;1;Да
98;-8.7428176798;-8.7478465546;0.0050288747;2340;456.6490000000;1;Да
99;-12.7598614977;-12.7698161895;0.0099546918;360;80.1824000000;1;Да
100;-11.4388199242;-11.4388199242;0.0000000000;180;39.0810000000;1;Да
